,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Dec 18, 2019",6647.7,7324.98,6540.05,7276.8,"31,836,522,778","131,754,969,804"
1,"Dec 17, 2019",6931.32,6964.07,6587.97,6640.52,"22,363,804,217","120,234,244,809"
2,"Dec 16, 2019",7153.66,7171.17,6903.68,6932.48,"20,213,265,950","125,515,586,952"
3,"Dec 15, 2019",7124.24,7181.08,6924.38,7152.3,"16,881,129,804","129,481,424,648"
4,"Dec 14, 2019",7268.9,7308.84,7097.21,7124.67,"17,137,029,730","128,970,221,233"
5,"Dec 13, 2019",7244.66,7293.56,7227.12,7269.68,"17,125,736,940","131,581,377,758"
6,"Dec 12, 2019",7216.74,7266.64,7164.74,7243.13,"18,927,080,224","131,087,151,088"
7,"Dec 11, 2019",7277.2,7324.16,7195.53,7217.43,"16,350,490,689","130,609,895,528"
8,"Dec 10, 2019",7397.13,7424.02,7246.04,7278.12,"18,249,031,195","131,696,121,855"
9,"Dec 09, 2019",7561.8,7618.09,7365.99,7400.9,"17,872,021,272","133,904,005,787"
10,"Dec 08, 2019",7551.34,7634.61,7476.09,7564.35,"15,409,908,086","136,847,419,896"
11,"Dec 07, 2019",7547.27,7589.95,7525.71,7556.24,"15,453,520,564","136,686,769,529"
12,"Dec 06, 2019",7450.56,7547.0,7392.18,7547.0,"18,104,466,307","136,504,883,935"
13,"Dec 05, 2019",7253.24,7743.43,7232.68,7448.31,"18,816,085,231","134,706,455,048"
14,"Dec 04, 2019",7320.13,7539.78,7170.92,7252.03,"21,664,240,918","131,143,073,943"
15,"Dec 03, 2019",7323.98,7418.86,7229.36,7320.15,"14,797,485,769","132,359,942,301"
16,"Dec 02, 2019",7424.04,7474.82,7233.4,7321.99,"17,082,040,706","132,378,982,377"
17,"Dec 01, 2019",7571.62,7571.62,7291.34,7424.29,"18,720,708,479","134,215,145,410"
18,"Nov 30, 2019",7764.06,7836.1,7515.85,7569.63,"17,158,194,786","136,829,391,049"
19,"Nov 29, 2019",7466.73,7781.18,7460.76,7761.24,"19,709,695,456","140,280,108,521"
20,"Nov 28, 2019",7536.82,7730.07,7454.12,7463.11,"19,050,116,751","134,879,411,013"
21,"Nov 27, 2019",7220.88,7619.69,6974.17,7531.66,"23,991,412,764","136,102,712,894"
22,"Nov 26, 2019",7145.16,7320.23,7098.57,7218.37,"21,129,505,542","130,429,018,720"
23,"Nov 25, 2019",7039.98,7319.86,6617.17,7146.13,"42,685,231,262","129,112,952,930"
24,"Nov 24, 2019",7398.63,7408.58,7029.29,7047.92,"30,433,517,289","127,327,398,565"
25,"Nov 23, 2019",7296.16,7442.26,7151.42,7397.8,"21,008,924,418","133,636,205,957"
26,"Nov 22, 2019",7643.57,7697.38,6936.71,7296.58,"34,242,315,785","131,791,783,672"
27,"Nov 21, 2019",8023.64,8110.1,7597.38,7642.75,"22,514,243,371","138,031,885,379"
28,"Nov 20, 2019",8203.61,8237.24,8010.51,8027.27,"20,764,300,437","144,962,727,398"
29,"Nov 19, 2019",8305.13,8408.52,8099.96,8206.15,"21,083,613,816","148,178,376,843"
30,"Nov 18, 2019",8573.98,8653.28,8273.57,8309.29,"21,579,470,673","150,025,712,267"
31,"Nov 17, 2019",8549.47,8727.79,8500.97,8577.98,"18,668,638,897","154,861,842,425"
32,"Nov 16, 2019",8491.17,8592.0,8473.97,8550.76,"16,495,389,808","154,354,054,194"
33,"Nov 15, 2019",8705.71,8730.87,8484.84,8491.99,"21,796,856,471","153,277,483,626"
34,"Nov 14, 2019",8811.94,8826.94,8692.55,8708.1,"19,084,739,975","157,160,974,644"
35,"Nov 13, 2019",8812.03,8836.84,8761.65,8808.26,"17,545,755,405","158,949,942,842"
36,"Nov 12, 2019",8759.75,8853.77,8685.43,8815.66,"20,309,769,107","159,068,712,900"
37,"Nov 11, 2019",9056.92,9081.28,8700.61,8757.79,"20,265,510,765","158,009,772,437"
38,"Nov 10, 2019",8812.49,9103.83,8806.16,9055.53,"20,587,919,881","163,364,406,732"
39,"Nov 09, 2019",8809.47,8891.82,8793.16,8813.58,"17,578,630,606","158,981,489,715"
40,"Nov 08, 2019",9265.37,9272.76,8775.53,8804.88,"24,333,037,836","158,808,570,729"
41,"Nov 07, 2019",9352.39,9368.48,9202.35,9267.56,"22,700,383,839","167,138,722,904"
42,"Nov 06, 2019",9340.86,9423.24,9305.91,9360.88,"23,133,895,765","168,806,151,583"
43,"Nov 05, 2019",9413.0,9457.42,9256.93,9342.53,"26,198,609,048","168,459,778,835"
44,"Nov 04, 2019",9235.61,9505.05,9191.49,9412.61,"26,170,255,634","169,706,332,936"
45,"Nov 03, 2019",9324.79,9379.81,9141.25,9235.35,"21,132,220,847","166,495,319,475"
46,"Nov 02, 2019",9259.78,9377.49,9249.59,9324.72,"21,242,676,385","168,090,392,935"
47,"Nov 01, 2019",9193.99,9275.66,9132.05,9261.1,"24,324,691,031","166,928,044,164"
48,"Oct 31, 2019",9202.46,9383.16,9028.72,9199.58,"26,583,653,947","165,804,227,835"
49,"Oct 30, 2019",9422.46,9426.87,9085.37,9205.73,"27,706,531,577","165,899,500,650"
50,"Oct 29, 2019",9248.44,9516.18,9232.65,9427.69,"28,426,779,937","169,883,866,262"
51,"Oct 28, 2019",9565.1,9805.12,9256.15,9256.15,"30,948,255,332","166,777,392,742"
52,"Oct 27, 2019",9241.71,9749.53,9112.54,9551.71,"32,593,129,501","172,087,039,875"
53,"Oct 26, 2019",8667.58,10021.74,8662.62,9244.97,"44,496,255,609","166,547,360,782"
